"Reference","Description","Item #","MANUFACTURER","MPN","Package/Footprint","Type","Your Instructions / Notes","Qty"
"AE1","","","","","","","","1"
"C1, C3","CAP CER 10000PF 16V X7R 0402","1","KYOCERA AVX","0402YC103KAT2A","0402","SMD","","2"
"C2, C4","CAP CER 10UF 6.3V X5R 0402","2","Murata Electronics","GRM155R60J106ME05D","0402","SMD","","2"
"C5, C18, C20, C22","CAP CER 1UF 6.3V X5R 0402","3","KYOCERA AVX","04026D105KAT2A","0402","SMD","","4"
"C6, C14, C17, C19, C21","CAP CER 0.1UF 16V X7R 0402","4","KYOCERA AVX","0402YC104KAT2A","0402","SMD","","5"
"C7, C8","CAP CER 22PF 50V C0G/NP0 0402","5","KYOCERA AVX","04025A220JAT2A","0402","SMD","","2"
"C9, C12","CAP CER 47PF 25V C0G/NP0 0402","6","Walsin Technology Corporation","0402N470J250CT","0402","SMD","","2"
"C10, C11","CAP CER 15PF 25V C0G/NP0 0402","7","Walsin Technology Corporation","0402N150J250CT","0402","SMD","","2"
"C13","CAP CER 4.7UF 10V X5R 0402","8","Samsung Electro-Mechanics","CL05A475MP5NRNC","0402","SMD","","1"
"C15","CAP CER 0.15UF 10V X5R 0402","9","Walsin Technology Corporation","0402X154K100CT","0402","SMD","","1"
"C16","CAP CER 100PF 50V C0G/NP0 0402","10","KYOCERA AVX","04025A101JAT2A","0402","SMD","","1"
"D1, D2","LED RED CLEAR SMD","11","Lite-On Inc.","LTST-C191KRKT","0603","SMD","","2"
"J1","","","","","","Thru-hole","","1"
"J2","","","","","","Thru-hole","","1"
"J3","","","","","","Thru-hole","","1"
"J4","","","","","","Thru-hole","","1"
"J5","MICRO B SKT, BOTTOM-SMT, R/A, 30","12","GCT","USB3076-30-A","USB Micro-B","Thru-hole","","1"
"L1","FIXED IND 2.2UH 1.05A 250MOHM SM","13","Murata Electronics","LQM18PN2R2MGHD","0603","SMD","","1"
"L2","FIXED IND 2.2NH 900MA 150MOHM SM","14","Murata Electronics","LQG15HN2N2S02D","0402","SMD","","1"
"L3","FIXED IND 3.9NH 750MA 180MOHM SM","15","Murata Electronics","LQG15HS3N9S02D","0402","SMD","","1"
"R1, R4, R9, R10","RES SMD 10K OHM 1% 1/16W ","16","YAGEO","RC0402FR-0710KP","0402","SMD","","4"
"R2, R3","RES 4.7K OHM 1% 1/16W 0402","17","YAGEO","RC0402FR-0714K7L","0402","SMD","","2"
"R5","RES 453K OHM 1% 1/16W 0402","18","YAGEO","RC0402FR-07453KL","0402","SMD","","1"
"R6","RES 100K OHM 1% 1/16W 0402","19","YAGEO","AC0402FR-13100KL","0402","SMD","","1"
"R7, R8","RES 27 OHM 1% 1/16W 0402","20","YAGEO","RC0402FR-0727RL","0402","SMD","","2"
"R11, R12","RES 270 OHM 1% 1/16W 0402","21","YAGEO","RC0402FR-07270RL","0402","SMD","","2"
"R13-R15","RES 510 OHM 1% 1/16W 0402","22","YAGEO","RC0402FR-07510RL","0402","SMD","","3"
"S1","SWITCH TACTILE SPST-NO 0.05A 15V","23","E-Switch","TL3315NF160Q","SMT","SMD","","1"
"S2","SWITCH SLIDE DIP SPST 25MA 24V","24","E-Switch","KAE01SGGT","SMT","SMD","","1"
"U1","IC REG BUCK ADJ 1A SOT23-5","25","Texas Instruments","TLV62568DBV","SOT-23-5","SMD","","1"
"U2","IC RF TXRX+MCU BLUETOOTH 32VFQFN","26","STMicroelectronics","BLUENRG-232","QFN-32","SMD","","1"
"U3","IC USB SERIAL BASIC UART 16QFN","27","FTDI","FT230XQ-R","QFN-16","SMD","","1"
"U4","BALUN 2.4GHZ-2.5GHZ 50/50 4UFBGA","28","STMicroelectronics","BALF-NRG-02D3","CSPBGA","SMD","","1"
"U5","RGB SMD B PART","29","Everlight Electronics Co Ltd","EAST1616RGBA8","6-SMD","SMD","","1"
"Y1","CRYSTAL 32.7680KHZ 12.5PF SMD","30","ECS INC","ECS-.327-12.5-16-TR","2-SMD","SMD","","1"
"Y2","CRYSTAL 32.0000MHZ 8PF SMD","31","ECS Inc.","ECS-320-8-47-JTN-TR","4-SMD","SMD","","1"
